state_name	stusab	fips	year	gnis
Alabama 	AL 	1	2019	
Alaska 	AK 	2	2019	
Arizona 	AZ 	4	2019	
Arkansas 	AR 	5	2019	
California 	CA 	6	2019	
Colorado 	CO 	8	2019	
Connecticut 	CT 	9	2019	
Delaware 	DE 	10	2019	
Florida 	FL 	12	2019	
Georgia 	GA 	13	2019	
Hawaii 	HI 	15	2019	
Idaho 	ID 	16	2019	
Illinois 	IL 	17	2019	
Indiana 	IN 	18	2019	
Iowa 	IA 	19	2019	
Kansas 	KS 	20	2019	
Kentucky 	KY 	21	2019	
Louisiana 	LA 	22	2019	
Maine 	ME 	23	2019	
Maryland 	MD 	24	2019	
Massachusetts 	MA 	25	2019	
Michigan 	MI 	26	2019	
Minnesota 	MN 	27	2019	
Mississippi 	MS 	28	2019	
Missouri 	MO 	29	2019	
Montana 	MT 	30	2019	
Nebraska 	NE 	31	2019	
Nevada 	NV 	32	2019	
New Hampshire 	NH 	33	2019	
New Jersey 	NJ 	34	2019	
New Mexico 	NM 	35	2019	
New York 	NY 	36	2019	
North Carolina	NC	37	2019	
North Dakota 	ND 	38	2019	
Ohio 	OH 	39	2019	
Oklahoma 	OK 	40	2019	
Oregon 	OR 	41	2019	
Pennsylvania 	PA 	42	2019	
Rhode Island 	RI 	44	2019	
South Carolina	SC	45	2019	
South Dakota 	SD 	46	2019	
Tennessee 	TN 	47	2019	
Texas 	TX 	48	2019	
Utah 	UT 	49	2019	
Vermont 	VT 	50	2019	
Virginia 	VA 	51	2019	
Washington 	WA 	53	2019	
West Virginia 	WV 	54	2019	
Wisconsin 	WI 	55	2019	
Wyoming 	WY 	56	2019	
American Samoa	AS	60	2019	
Guam 	GU 	66	2019	
Northern Mariana Islands 	MP 	69	2019	
Puerto Rico 	PR 	72	2019	
Virgin Islands 	VI 	78	2019	
